Title,Perusahaan,Kategori,Lokasi,Skills
Tim Instalasi Jaringan,PT Matawari Lintas Nusa,Teknisi Jaringan,Semarang,Bekerja di ketinggian
Tim Instalasi Jaringan,PT Matawari Lintas Nusa,Teknisi Jaringan,Pekanbaru,Bekerja di ketinggian
Mobile Developer,Cudo Communications,Mobile App Developer,Tangerang Selatan,"Android, ios, React Native, OOP"
Staff Full Stack Developer,PT Tourin Wisata Global,Full Stack Developer,Jakarta Pusat,"Web developer, Android, Flutter, ANDROID, IOS MOBILE DEVELOPMENT, Laravel"
Junior Full Stack Developer,PT Tourin Wisata Global,Full Stack Developer,Jakarta Pusat,"Web, Android, Flutter, ANDROID, IOS MOBILE DEVELOPMENT, Bootsrap, Laravel, bootstrap"
Staff IT,PT. Naga Indonesia Plywood,Kepala Produksi,Wonogiri,"Cctv, LAN and internet"
IT Sales,PT.BITS MILIARTHA,Sales Consultant,Surabaya,"Negosiasi dan Marketing, Penjualan atau marketing, Komunikasi"
IT Support,PT Sregep Serendipity Konstruksi,IT Support,Kabupaten Tangerang,"Mengerti jaringan komputer, Linux, LAN WAN"
IT Support,Klinik Sahid Sahirman Medical Centre,IT Support,Jakarta Pusat,"IT Hardware dan Software, Microsoft, Jaringan Komputer, Aplikasi RME, Microsoft Excell, amp"
Project Manager (FTTH),PT Buana Menara Indonesia,Project Manager,Tangerang,"Negotiable Skills, Project Management and Reporting, Memiliki pengetahuan FFTH dan Mode Converter Fiber Optik"
Tim Instalasi Jaringan,PT Matawari Lintas Nusa,Teknisi Jaringan,Balikpapan,Bekerja di ketinggian
Java Programmer,PT Jasamedika Saranatama,Java Developer,Bandung Kota,"PHP, Css, jQuery, HTML 5, Angular, Java Spring Boot, Operating RDBMS like MySQL, Oracle DB, Maria DB, and Microsoft SQL Server., Menguasi RestFul API, Bootstrap dan Git Repository"
Admin Sistem ERP,Hk.Lollipop,Admin ERP,Bandung Kota,"Software, Enterprise Resource Planning ERP Program ODOO 8 ODOO 12"
Mobile / Android Programmer,PT. Floo Integra Digital,Android Developer,Sidoarjo,"Menguasai Pemrograman Android seperti Java atau Kotlin, Menguasai Flutter lebih diutamakan, Memahami dan menguasai penggunaan REST API"
Teknisi Pemasangan WiFi,PT. Rizki Prima Sakti,Teknisi Jaringan,Pontianak,Configuration Access Point WiFi
ICT Technical Support,PT. SWISCO SOLUSI TEKNOLOGI,IT Support,Batam,"Computer Network Operations, IT Hardware Support"
Full Stack Developer,Maju Bersama Sejahtera,Full Stack Developer,Surabaya,"Javascript, Html, Css, Vue JS, NODE JS, Database SQL server Management, Ms Access, Ms Excel, Ms Word, Ms PP, Laravel"
Full Stack Developer,PT IURIS INTERNATIONAL INDONESIA,Full Stack Developer,Remote,"IT Hardware dan Software, Computer Hardware"
IT Support,PT. FTF Globalindo,IT Support,Kuningan,"Networking, troubleshooting, instalasi software, Instalasi Komputer, Memahami jaringan LANWANMAN, Memahami Server"
Sales Marketing,PT. FTF Globalindo,Sales Marketing,Makassar,"Memiliki pengetahuan tentang dunia IT khususnya di bidang hardware dan software - Terbiasa dengan Media Sosial Facebook, Instagram, DII - Menguasai Basic Digital Marketing Sosial Media Marketing - Memiliki kemampuan negoisasi yang baik - Memili"
IT Support,KJPP HERMAN MEIRIZKI DAN REKAN,IT Support,Jakarta Selatan,"Konfigurasi Mikrotik, Router, Jaringan LANWAN, SQL Server, Komunikasi"
Teknisi,PT. Rizki Prima Sakti,Telekomunikasi,Samarinda,Mengerti Tentang Jaringan Telekomunikasi
Pre-Sales Engineer,PT MEDIA BERSAMA SUKSES,Presales Staff,Surabaya,"Komputer, Jaringan, Cctv"
Teknisi Jaringan Vsat - Penempatan Denpasar,PT. Ibinet Global Nusatindo,Teknisi Jaringan,Denpasar,"Jaringan Design Konfigurasi router MikroTik, Jaringan Instalasi Mikrotik dan VPN, Jaringan Komputer Installasi Komputer, Service, Jaringan LAN, WAN"
Sales Executive,PT. Floo Integra Digital,Sales Executive,Sidoarjo,"B2B Sales proses Follow up, Cold Calling, sales pitching, Having good knowledge in various IT technologies networking, security, collaboration tools, etc - Having good communication and presentation skill - Having knowledge about ERP is a plus"
Sales Marketing,PT. FTF Globalindo,Sales Supervisor,Bekasi,"Memiliki pengetahuan tentang dunia IT khususnya di bidang hardware dan software - Terbiasa dengan Media Sosial Facebook, Instagram, DII - Menguasai Basic Digital Marketing Sosial Media Marketing - Memiliki kemampuan negoisasi yang baik - Memili"
Staf IT Support,SALUT WIBAWA SAKTI,IT Support,Bekasi,"Menguasai Microsoft Office, Jaringan Internet, Desain Flyer, Video Iklan"
IT Programmer,PT Persona Prima Utama,Junior Programmer,Jakarta Selatan,"Memiliki kemampuan Bekerja secara Tim 2. Menguasai Full stack development phyton, sql, json, restAPI, android, web 3. Menguasai Dasar Metode Agile Development 4. Akan menjadi nilai lebih jika telah memiliki pengalaman pengembangan aplikasi 5. Me"
IT Manager,PT Persona Prima Utama,Manajemen & Strategi IT,Jakarta Selatan,"Memiliki kemampuan Bekerja secara Tim 2. Menguasai Full stack development phyton, sql, json, restAPI, android, web 3. Menguasai Dasar Metode Agile Development 4. Akan menjadi nilai lebih jika telah memiliki pengalaman pengembangan aplikasi 5. Me"
Teknisi Server Komunikasi,PT. Tele Globe Global,Teknisi Jaringan,Bekasi,Bisa dan Faham instalasi CCTV - Memiliki Pengalaman Fiber Optic - Project Communication - Paham tentang PABX
Teknisi Laptop,FC Computer PIK,Teknisi Komputer,Jakarta Utara,"Memahami komponen amp, mampu memperbaiki motherboard, IC, VGA Card, Chipset Jalur -Memiliki kemampuan menganalisa amp, berpengalaman sukses di bidang troubleshoot software amp, hardware komputer, laptop, adaptor, printer, scanner, jaringan, dan"
Staff IT,PT. Sebastian Jaya Metal,Help Desk & IT Support,Bekasi,"Menguasai bahasa program PHP, Data base SQL, Frame work codeigneter memiliki keahlian Programming - Memiliki pengalaman membuat dan mendesign web - Menguasai jaringan lokal dan internet LANWAN - Mengerti troubleshooting, hardware, software - M"
Staff IT,PT. Kediri Matahari Corn Mills,Web Developer,Kediri,"Web desain, SQL, SQL Database, Back-end dan Front-end programmer, Basic Phyton"
Golang Developer,PT SHANKARA CABOT BAJRA DANAPATI,Golang Developer,Bandung Kabupaten,"Software, Adaptif dan Tangguh dalam Tekanan"
Teknisi IKR (Instalasi Kedalam Rumah),PT. Rizki Prima Sakti,Teknisi Jaringan,Balikpapan,"Memiliki kemampuan dan pengetahuan pada jaringan fiber optic. - Mampu mengoperasikan alat ukur fiber optic Splicing, OPM, OTDR, OLS"
Teknisi IKR (Instalasi Kedalam Rumah),PT. Rizki Prima Sakti,Telekomunikasi,Pekalongan,"Teknisi Instalasi Fiber Optik, Paham pemasangan ikr fiber optic"
Help Desk Specialist,Pay2Home Direct (Singapore) Pte Ltd,IT Support,Batam,"English, IT Skill"
IT Support Help Desk,PT Teknologika Integrator Indonesia,IT Support,Jakarta Barat,"My SQL, Linux, Data base, server, INGGRIS AKTIF PASIF, Database My SQL, Microsoft access, Oracle."
Staff Sales Project,PT. FTF Globalindo,Sales Project,Medan,"Dapat berkomunikasi dengan baik - Menguasai MS.Office - Dapat melakukan inovasi, inovasi dalam memasarkan produk - Dapat melakukan presentasi dengan baik didepan client"
Operator Jointer,PT. Rizki Prima Sakti,Telekomunikasi,Cilacap,"Equipment maintenance, Computer Maintenance, maintenance mechanical., Maintenance and repair, Engineering Maintenance"
IT Support,PT KINARYA ALIHDAYA MANDIRI Regional Jawa Barat,IT Support,Cirebon,"Troubleshooting Komputer, Networking, Instalasi jaringan wirelessnetwork lan, OS Linux"
IT (Hard ware) Officer,PT ZHULIAN AZANA NETWORK,Help Desk & IT Support,Medan,"Familiarity with common hardware and software applications used in a business environment, Excellent communication and customer service skills"
Staff IT Support,PT. Global Solusi Sejahtera,IT Support,Bogor,"Menguasai instalasi dan konfigurasi CCTV, alarm - Pemahaman jaringan komputer LANWiFi"
IT Support,PT. FTF Globalindo,IT Support,Deli Serdang,"Networking, troubleshooting, instalasi software, Instalasi Komputer, Memahami Server, MemahamiJaringan LANWANMAN, MengertiKomputer"
Guru Komputer Jaringan,SMK PRAKARYA INTERNASIONAL,Guru Komputer,Bandung Kota,"Menguasai System operasi Linux dibuktikan dgn sertifikat, Menguasai Jaringan berbasis Luas, Menguasai Administrasi Server Berbasis Windows dan Linux, Mampu MerancangMendesain Jaringan Berbasis Server, Menguasai System operasi Router"
IT Support,PT. FTF Globalindo,IT Support,Kupang,"Networking, troubleshooting, instalasi software, Instalasi Komputer, Memahami jaringan LANWANMAN, Memahami Server"
Engineer Mesin ATM,PT KINARYA ALIHDAYA MANDIRI Regional Jawa Barat,Help Desk & IT Support,Sukabumi,"Familiar dengan windows Linux sebagai nilai plus 2. Terbiasa melakukan troubleshoot jaringan, troubleshoot laptoppc dan instalasi jaringan 3. Memiliki sertifikasi jaringan CCNAMTCNA 4. Menguasai Basic Dasar Network 5. Menguasai hardware dan sh"
Oracle Erp Assistant Consultant,PT. Amanah Seruan Alam,Sistem & Analisis IT,Jakarta Pusat,"Finance, supply chain, and human resources modules - Analytical, communication, and teamwork skills - Proficient in English"
SAP Technical Consultant,PT. Amanah Seruan Alam,Technical Support,Jakarta Pusat,"Fluent in English - Java, JavaScript - Understanding of databeses and proficiency in SQL - Good communication and collaboration skills"
Backend Technical Consultant,PT. Amanah Seruan Alam,Back End Developer,Jakarta Pusat,"Java, Python, or Node.js RESTful API design, database management, and caching mechanisms Backend frameworks and tools e.g., Spring Boot, Django, Express.js Containerisation technologies like Docker and deployment practicies such as CICD Experience"
IT Programmer Development,RS Ananda Group,.Net Programmer,Bekasi,"Penguasaan database management dan bahasa query SQL Server Oracle - Pengalaman dengan teknologi web server dan integrasi cloud computing - Kemampuan dalam pengembangan software server-side menggunakan bahasa seperti Java, Python, C, .Net - Fam"
Web Interface Developer,PT. Loker Asli Indonesia,Front End Developer,Remote,"Berpengalaman dengan React Router, diutamakan yang pernah menggunakan Remix. 2. Pernah membuat aplikasi mobile menggunakan React Native, diutamakan yang pernah dipublikasikan ke App Store atau Play Store. 3. Mampu masuk ke sistem existing. 4. Clea"
Staff Teknisi CCTV,PT. FOKUS VISION TEKNOLOGI,Teknisi CCTV,Kabupaten Tangerang,"Mampu secara mandiri Instalasi CCTV dan setting Jaringan Online, Dapat mengatasi troubleshooting peralatan CCTV yang bermasalah"
Staff Admin Sales,PT. FOKUS VISION TEKNOLOGI,Admin Sales,Kabupaten Tangerang,"Selling skills, Memahami produk Elektronik dan IT, Mampu belajar hal-hal baru di seputar teknologi keamanan, Mampu menjelaskan baik di sisi teknis atau market, Paham Menggunakan software ERP"
Staff IT Network,PT. FOKUS VISION TEKNOLOGI,IT Support,Kabupaten Tangerang,"Paham design topologi jaringan, Paham Instalasi kabel network dan listrik, Paham troubleshooting"
Teknisi IKR (Instalasi Kedalam Rumah),PT. Rizki Prima Sakti,Teknisi Jaringan,Surabaya,"Memiliki kemampuan dan pemahaman pada jaringan fiber optic. - Mampu mengoperasikan alat ukur fiber optic Splicer, OPM, OTDR, OLS"
Teknisi Komputer,cctvdistro,Teknisi Komputer,Surabaya,"Bisa mendiagnosa dan melakukan perbaikan sederhana aksesories komputer speaker, mouse dll - Bisa mengoperasikan MS Office Excel - Mahir dalam mengoperasikan Komputer, Software, dan Networking - Memiliki kemampuan komunikasi dan koordinasi yang ba"
Back End Developer (PHP / Laravel),PT. Loker Asli Indonesia,Back End Developer,Remote,"PHP 2. MySQL MariaDBPosgreSQL 3. Backend framework Codeignitier Laravel Slim 4. RESTFul API, JSON 5. Familiar dengan layanan AWS SQS, SES 6. GIT 7. Memahami testing system menggunakan unit test."
IT Support,PT. FTF Globalindo,IT Support,Bandar Lampung,"Networking, troubleshooting, instalasi software, Instalasi Komputer, mengerti komputer, Memahami jaringan LANWANMAN, Memahami Server"
Staff IT Network,PT. Tele Globe Global,Network Engineer,Bekasi,"microtic, Bisa dan Faham Setting Configurasi Router Mikrotik MTCNA - Bisa dan Faham Penanganan Troubleshooting Computer amp, Jaringan - Bisa dan Faham Network Jaringan - Menguasai System Linux Debian, Centos, Dsb - Menguasai CISCOamp"
Staff SAP,PT. Sebastian Jaya Metal,IT / Information Technology,Bekasi,"Memiliki pengetahuan tentang software SAP 2. Dapat menguasai komputer word, excel, powerpoint 3. Berorientasi pada target dan memiliki loyalitas tinggi 4. Memahami ISO 90012015"
IT Support,PT. FTF Globalindo,IT Support,Bekasi,"Networking, troubleshooting, instalasi software, Instalasi Komputer, mengerti komputer, Memahami jaringan LANWANMAN, Memahami Server"
Programmer PHP,PT. FTF Globalindo,PHP Developer,Bekasi,"Networking, troubleshooting, instalasi software, Instalasi Komputer, mengerti komputer, Memahami Server, Menguasai bahasa pemprogrammer, Dapat membuat program berbasis vb dan php, Memahami Jaringan dan bahasa programmer"
Staff IT,PT Gemilang Maju Berjaya,Help Desk & IT Support,Surabaya,Menguasai Management Information System - Menguasai Learning Management System - Menguasai sistem networking
UI/UX Designer,PT SHANKARA CABOT BAJRA DANAPATI,UI/UX Designer,Bandung Kabupaten,"Software, UI Design, UIUX, Design UIUX Design"
Teknisi Komputer,FC Computer PIK,Teknisi Komputer,Jakarta Barat,Mengerti jaringan internet dan pemasangan router 2. Memiliki komunikasi yang baik
Network Operation Center NOC,PT. Tele Globe Global,Network Operation Center,Bekasi,"Bisa dan Faham Setting Configurasi Router Mikrotik MTCNA - Bisa dan Faham Penanganan Troubleshooting Computer amp, Jaringan - Bisa dan Faham Network Jaringan - Menguasai System Linux Debian, Centos, Phytonn - Dapat Berkordinasi Dan Berkomuni"
IT Engineer,PT Infra Dimensi Persada,IT Support,Tangerang Selatan,"Komputer, Jaringan Komputer, Operating system Linux, All Windows OS and SharePoint."
IT Support,PT CITA SOLUSI INDONESIA,IT Support,Jakarta Pusat,IT Hardware dan Software
