Title,Perusahaan,Kategori,Lokasi,Skills,Lat,Lon,Klasifikasi
MEKANIK RETAIL - RODALINK SALATIGA,PT Insera Sena (Polygon Group),Operasi Ritel,Salatiga,"mekanik, komunikasi skill, Up Selling, cross selling",-7.3302642,110.4995353,NON-IPTEK
Staf Engineering (Teknis & Administratif Proyek),Karunia Adi Sentosa,"Teknik, Sipil",Jakarta,Risk Analysis,-6.1754049,106.827168,NON-IPTEK
Sales Promotor Kudus (Online Walkin Interview Jawa Tengah),PT. Elabram Systems,Penjualan dan Pemasaran,Kudus,"Retail Management, Salesforce",-6.7608057,111.0133477,NON-IPTEK
Factory Automation Engineer,PT Posco Dx Indonesia,IT,Serang,C,-6.1057256,105.9884196,NON-IPTEK
BARISTA KELILING KOPI RASA MANTAP,PT Jmax Indonesia,Penjualan dan Pemasaran,Jakarta,Digital Marketing,-6.1754049,106.827168,NON-IPTEK
Cashier Staff,PT. Sentral Retailindo Dewata,Penjualan dan Pemasaran,Badung,"Bahasa Inggris, komunikasi, Teamwork, Customer Service",-8.6504958,115.2696404,NON-IPTEK
Sales Promotor Kudus,PT. Elabram Systems,Penjualan dan Pemasaran,Kudus,Sales & Marketing,-6.7608057,111.0133477,NON-IPTEK
Sales Engineer,PT. Multi Teknindo Infotronika,Penjualan dan Pemasaran,Jakarta,Digital Marketing,-6.1754049,106.827168,NON-IPTEK
Senior Manager of Accounting & Tax,Dayup Indo,Akuntan Perpajakan,Jakarta,"XHTML, Microsoft Excel, Microsoft Windows, Microsoft Office, Data Management, Compensation & Benefits, accurate, Risk Analysis, coretax, E-SPT",-6.1754049,106.827168,NON-IPTEK
Driver,Konimex,Supir,Sukoharjo,driving,-7.9834335,112.6336645,NON-IPTEK
Petugas Analisa Laboratorium,Konimex,Laboratorium,Sukoharjo,ketelitian dan akurasi,-7.9834335,112.6336645,IPTEK
Project Manager,Citra Bahasa Global,Marketing dan Relasi Publik,Jakarta,"Microsoft Office, English Language, Communications, Design, Teamwork, Leadership, Project Management",-6.1754049,106.827168,NON-IPTEK
Staff Engineer Project (Elektro/Energi Terbarukan),PT Reja Aton Energi,"Teknik, Elektro",Sidoarjo,"Teknik Energi Terbarukan, Teamwork, Autocad, Tenaga Surya, teknik elektro",-7.4709917,112.7235568,IPTEK
Supervisor Sales Engineer,PT Reja Aton Energi,"Teknik, Elektro",Sidoarjo,"Project Leader, Microsoft Office, Autocad, Leadership, Instalasi sistem kelistrikan, teknik elektro",-7.4709917,112.7235568,IPTEK
Crew Outlet,PT. Modular Kuliner Indonesia,Operasi Restoran,Yogyakarta,Memasak,-7.801349,110.3647351,NON-IPTEK
IT Support,Citra Bahasa Global,"TI, Programmer",Jakarta,"software, Hardware Engineering",-6.1754049,106.827168,NON-IPTEK
Marketing Kredit,Bank Perkreditan Rakyat Restu Dewata,Penjualan dan Pemasaran,Tabanan,"Marketing, Communication Skills, Teamwork, Marketing Communications",-8.5739589,115.1196415,NON-IPTEK
HSE Manager,PT. Indorama Petrochemicals,"Teknik, Keselamatan",Cilegon,"Microsoft Excel, Microsoft Office, Microsoft PowerPoint, SAP",-6.017389,106.0537688,IPTEK
Sales Indoor/Sales Admin,PT Eterna Karya Sejahtera,Pembelian / Purchasing,Jakarta,"Microsoft Office, Databases, Sales & Marketing",-6.1754049,106.827168,NON-IPTEK
Tax Manager,PT. Huawei Tech Investment,"Teknik, Telekomunikasi",Jakarta,"Microsoft Excel, Microsoft Office, Data Management, Compensation & Benefits, Databases, Risk Analysis",-6.1754049,106.827168,IPTEK
Product Manager,PT. Huawei Tech Investment,"Teknik, Telekomunikasi",Jakarta,"Technology, Microsoft Office",-6.1754049,106.827168,IPTEK
Finance Officer,PT. Senayan Trikarya Sempana,Akuntansi & Keuangan,Jakarta,"Accounting, Accounts Receivable, Microsoft Excel, Microsoft Office, English Language",-6.1754049,106.827168,NON-IPTEK
Ahli Gizi,PT. Rumah Sakit Pelni,Kesehatan dan Medis,Jakarta,gizi,-6.1754049,106.827168,NON-IPTEK
Juru Masak,PT. Rumah Sakit Pelni,Juru Masak,Jakarta,Microsoft Office,-6.1754049,106.827168,NON-IPTEK
Dokter Umum,PT. Rumah Sakit Pelni,Dokter Umum,Jakarta,Microsoft Office,-6.1754049,106.827168,NON-IPTEK
Petugas Gudang,Konimex,Operasi Gudang,Sukoharjo,Data Warehouse,-7.9834335,112.6336645,NON-IPTEK
Leasing Executive untuk Plaza Senayan,PT. Senayan Trikarya Sempana,Penjualan dan Pemasaran,Jakarta,"Negotiation, Microsoft Office, English Language, Communications, Market Research & Analysis",-6.1754049,106.827168,NON-IPTEK
Petugas produksi,Konimex,Manufaktur dan Produksi,Sukoharjo,Mampu mengikuti instruksi kerja,-7.9834335,112.6336645,NON-IPTEK
Field Inspector (Mekanik),PT. Jba Indonesia,"Teknik, Mesin",Semarang,"Mengetahui tentang kendaraan roda 2 & roda 4, dapat mengendarai mobil, Mempunyai SIM A",-6.9903988,110.4229104,IPTEK
Supervisor Provider - Solo/Surakarta,Proxcare Solusi Global Outsourcing,Penjualan dan Pemasaran,Surakarta,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations",-7.5692489,110.828448,NON-IPTEK
Mitra Kurir Motor - Kab Kudus,PT. Tri Adi Bersama,Logistik,Cilacap,Microsoft Office,-7.7177129,109.0198926,NON-IPTEK
Sales Promotor (Kudus),PT. Elabram Systems,Penjualan dan Pemasaran,Kudus,"Retail Management, Sales & Marketing",-6.7608057,111.0133477,NON-IPTEK
Mill Foreman,PT Bungasari Flour Mills Indonesia - Cilegon,Manufaktur dan Produksi,Cilegon,"GMP, Microsoft Office, Flour Milling",-6.017389,106.0537688,NON-IPTEK
Marketing Staff,PT Valbury Asia Futures,Telemarketing,Bandung,"Marketing, Content Marketing, Trade Marketing, Online Marketing, Digital Marketing",-6.9218457,107.6070833,NON-IPTEK
SPG/SPB Event - Surabaya,PT Infomedia Solusi Humanika Pontianak,Penjualan dan Pemasaran,Surabaya,Sales & Marketing,-7.2462836,112.7377674,NON-IPTEK
Pramuniaga (Gadai),Solusi Gadai Pintar,Penjualan dan Pemasaran,Jakarta,"Sales & Marketing, gadai, Sales",-6.1754049,106.827168,NON-IPTEK
COMMUNITY OFFICER - JAWA TIMUR,"PT Bank Btpn Syariah, Tbk Kc Padang",Operasi Perbankan,Surabaya,Marketing Communications,-7.2462836,112.7377674,NON-IPTEK
