Title,Perusahaan,Kategori,Lokasi,Skills
Pembuat Rokok Kretek,Kharisma Indah Bestari,Manufaktur dan Produksi,KAB. MAJALENGKA,Sales & Marketing
IT Technical Support and Ops,Teleakses Solusindo,"Teknik, Telekomunikasi",Jakarta,Java J2EE
Staff K3 / HSE,PT. Nose Herbalindo,Manajemen Pabrik,KAB. BOGOR,"Public Relations, Microsoft Office"
Customer Support Group,PT. Multi Teknindo Infotronika,"Teknik, Elektro",Jakarta,Operations
MEKANIK RETAIL - RODALINK SALATIGA,PT Insera Sena (Polygon Group),Operasi Ritel,KOTA SALATIGA,"mekanik, komunikasi skill, Kerjasama Tim"
"BARISTA,WAITRES",PT Anugrah Bali Kulina,Operasi Restoran,KAB. BADUNG,Microsoft Office
MEKANIK RETAIL - RODALINK SALATIGA,PT Insera Sena (Polygon Group),Operasi Ritel,KOTA SALATIGA,"mekanik, komunikasi skill, Up Selling, cross selling"
Staf Engineering (Teknis & Administratif Proyek),Karunia Adi Sentosa,"Teknik, Sipil",Jakarta,Risk Analysis
Kebutuhan Store Crew Boy dan Store Crew Girl,PT Indomarco Prismatama,Operasi Ritel,KAB. KLATEN,"Microsoft Excel, Microsoft Office"
Sales Promotor Kudus (Online Walkin Interview Jawa Tengah),PT. Elabram Systems,Penjualan dan Pemasaran,KAB. KUDUS,"Retail Management, Salesforce"
Factory Automation Engineer,PT Posco Dx Indonesia,IT,KAB. SERANG,C
Kebutuhan Store Crew Boy dan Store Crew Girl,PT Indomarco Prismatama,Operasi Ritel,KAB. KLATEN,Microsoft Office
BARISTA KELILING KOPI RASA MANTAP,PT Jmax Indonesia,Penjualan dan Pemasaran,Jakarta,Digital Marketing
Cashier Staff,PT. Sentral Retailindo Dewata,Penjualan dan Pemasaran,KAB. BADUNG,"Bahasa Inggris, komunikasi, Teamwork, Customer Service"
Sales Promotor Kudus,PT. Elabram Systems,Penjualan dan Pemasaran,KAB. KUDUS,Sales & Marketing
Sales Engineer,PT. Multi Teknindo Infotronika,Penjualan dan Pemasaran,Jakarta,Digital Marketing
Senior Manager of Accounting & Tax,Dayup Indo,Akuntan Perpajakan,Jakarta,"XHTML, Microsoft Excel, Microsoft Windows, Microsoft Office, Data Management, Compensation & Benefits, accurate, Risk Analysis, coretax, E-SPT"
Driver,Konimex,Supir,KAB. SUKOHARJO,driving
Petugas Analisa Laboratorium,Konimex,Laboratorium,KAB. SUKOHARJO,ketelitian dan akurasi
Project Manager,Citra Bahasa Global,Marketing dan Relasi Publik,Jakarta,"Microsoft Office, English Language, Communications, Design, Teamwork, Leadership, Project Management"
Staff Engineer Project (Elektro/Energi Terbarukan),PT Reja Aton Energi,"Teknik, Elektro",KAB. SIDOARJO,"Teknik Energi Terbarukan, Teamwork, Autocad, Tenaga Surya, teknik elektro"
Supervisor Sales Engineer,PT Reja Aton Energi,"Teknik, Elektro",KAB. SIDOARJO,"Project Leader, Microsoft Office, Autocad, Leadership, Instalasi sistem kelistrikan, teknik elektro"
Crew Outlet,PT. Modular Kuliner Indonesia,Operasi Restoran,KOTA YOGYAKARTA,Memasak
IT Support,Citra Bahasa Global,"TI, Programmer",Jakarta,"software, Hardware Engineering"
Marketing Kredit,Bank Perkreditan Rakyat Restu Dewata,Penjualan dan Pemasaran,KAB. TABANAN,"Marketing, Communication Skills, Teamwork, Marketing Communications"
HSE Manager,PT. Indorama Petrochemicals,"Teknik, Keselamatan",KOTA CILEGON,"Microsoft Excel, Microsoft Office, Microsoft PowerPoint, SAP"
Sales Indoor/Sales Admin,PT Eterna Karya Sejahtera,Pembelian / Purchasing,Jakarta,"Microsoft Office, Databases, Sales & Marketing"
Tax Manager,PT. Huawei Tech Investment,"Teknik, Telekomunikasi",Jakarta,"Microsoft Excel, Microsoft Office, Data Management, Compensation & Benefits, Databases, Risk Analysis"
Product Manager,PT. Huawei Tech Investment,"Teknik, Telekomunikasi",Jakarta,"Technology, Microsoft Office"
Finance Officer,PT. Senayan Trikarya Sempana,Akuntansi & Keuangan,Jakarta,"Accounting, Accounts Receivable, Microsoft Excel, Microsoft Office, English Language"
Ahli Gizi,PT. Rumah Sakit Pelni,Kesehatan dan Medis,Jakarta,gizi
Juru Masak,PT. Rumah Sakit Pelni,Juru Masak,Jakarta,Microsoft Office
Dokter Umum,PT. Rumah Sakit Pelni,Dokter Umum,Jakarta,Microsoft Office
Petugas Gudang,Konimex,Operasi Gudang,KAB. SUKOHARJO,Data Warehouse
