Title,Perusahaan,Kategori,Lokasi,Skills
KOL Marketplace,FUNBEAR OUTDOORSHOP,KOL Specialist,Jakarta Barat,"Tiktok Ads, TikTok Ads Manager, E-commerce Admin, E-commerce Business, Tiktok, Dapat mengoperasikan Shoope, Lazada, Tokopedia, Dll, TikTok Analytics, TikTok Analysis, TikTok Ads managed and organically developed the beauty-based on TikTok account beautykuy_id from 0 to 12, 046 followers to fulfill assignments in the Social Media Marketing SMM course., Tiktok Affiliates, E-Commerce industry - Having deep knowledge in Tiktok shop, shoope and Tokopedia Marketing Campa"
Media Social Specialist,Indian Village,Social Media Specialist,Jakarta Pusat,Menguasai berbagai macam software and tools untuk mengedit photo dan video untuk membuatnya menarik. - Mempunyai Passion untuk Berkerja di dunia Fashion. - Menguasai teknik jualan diSosmed seperti Tiktok live dan marketplace online seperti Shopee d
Social Media Content Creator,PT Geylang Sindo Pratama,Social Media Specialist,Jakarta Utara,"Video Editing, Content Creator, Photographer, Content creation, Food and Beverage Service Knowledge"
Sosial Media Spesialis,PT. Mitra Sejahtera Multilindo,Social Media Specialist,Medan,"Content Creator, SEO, SEO Analytic, Sosial Media, Content Design, Sosial Media Specialist, Digital marketing dan pembuatan konten, Design dan Video editing Adobe, Canva, Cap Cut Memahami kampanye iklan di sosial media Google Ads, FB, Ads, dll."
Staff Marketing,PT DOCTOR LEGAL INDONESIA,Marketing Executive,Jakarta Selatan,Komunikasi aktif
Digital Marketing,PT ARTA MEDIA JAYA,Digital Marketing,Surabaya,"Kreatif dan inovatif, Digital Marketing Strategi"
Marketing,PT.WANZE INTERNATIONAL TRADE,Staff Marketing,Jakarta Barat,Kemampuan Komunikasi dan Negoisasi yang baik
Staff Marketing,PT DOCTOR LEGAL INDONESIA,Marketing Executive,Surabaya,Komunikasi aktif
SEO Specialist,Maju Bersama Sejahtera,SEO Specialist,Surabaya,"Mengelola SEO On-page dan Off-page, Google Analytics dan Google Search Console"
Social Media Specialist,ARTCUSTOMWORKS,Social Media Specialist,Bandung Kota,"Content Creator, Mampu bekerja sendiri atau dalam tim, Copy Writing Beginner, Content Design Canva, CapCut, Social Media Posts, Menu Catalog Creation, Content Planner Sosial media, Komunikasi"
Digital Marketing,CV. Cipta Usaha Adinusa,Digital Marketing,Surabaya,"Aktif Sosial Media online, Sosial Media Desain, mengoperasikan Tools Desain"
Marketing Manager,PT VANDO TEKNIK SOLUSI,Sales Marketing Manager,Depok,"Marketing Strategy, Manajerial"
Marketing Executive,PT Heli Pet Solutions,Marketing Executive,Kabupaten Tangerang,"Management Communication, Community Development, Public communication, Brand Activation, Presentation and Communication, Marketing Digital"
Content Specialist (End-to-End),Sanjaya Promosi,Content Creator,Jakarta Utara,"Editing, Content Creator, Canva, Capcut"
Creative Marketing Assistant,STAYLEGAL SP. Z O. O.,Content Marketing,Remote,"Video Editing, Writing and Editing Skill, Graphic Design"
